sku_code,carton,loose,pallet,total_orders,pallet_share,carton_share,loose_share,avg_qty_per_order,baseline_pick_time_sec,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,ergonomic_penalty,abc_quantity,xyz_frequency,order_frequency,quantity,size_score_norm
2100120061,25,19,0,44,0.0,0.5681818181818182,0.4318181818181818,4.636363636363637,9.40909090909091,3,189,0.009288,1.0,3.0,0,C,Y,44,204.0,0.7153626202235508
2100120064,12,51,0,63,0.0,0.19047619047619047,0.8095238095238095,2.7037037037037037,7.142857142857143,3,210,0.007605,1.0,3.0,0,C,Y,63,170.33333333333334,0.5857378043497097
2100120184,0,2,0,2,0.0,0.0,1.0,1.0,6.0,4,120,0.01299375,1.6,6.4,0,C,Z,2,2.0,1.0007798284377436
2100120185,1,6,0,7,0.0,0.14285714285714285,0.8571428571428571,2.0,6.857142857142857,3,105,0.013144,1.333333333333333,4.0,0,C,Z,7,14.0,1.012352097353397
2100120186,1,1,0,2,0.0,0.5,0.5,2.0,9.0,3,189,0.01056,1.0,3.0,0,C,Z,2,4.0,0.813332178031944
2100120187,2,1,0,3,0.0,0.6666666666666666,0.3333333333333333,5.0,10.0,3,147,0.011408,1.1,3.3,0,C,Z,3,15.0,0.8786452165708729
2100120952,11,47,0,58,0.0,0.1896551724137931,0.8103448275862069,2.831896551724138,7.137931034482758,4,252,0.007400250000000001,1.25,5.0,0,C,Y,58,164.25,0.5699679403864484
2100120953,11,10,0,21,0.0,0.5238095238095238,0.47619047619047616,5.238095238095238,9.142857142857142,2,144,0.0135,1.85,3.7,0,C,Z,21,110.0,1.0397712503249286
2100121619,4,11,0,15,0.0,0.26666666666666666,0.7333333333333333,2.716666666666667,7.6,4,256,0.0070035,1.25,5.0,0,C,Z,15,40.75,0.5394102186407879
2100121620,1,9,0,10,0.0,0.1,0.9,1.275,6.6000000000000005,4,224,0.00825,1.5,6.0,0,C,Z,10,12.75,0.6354157640874564
2100121729,3,8,0,11,0.0,0.2727272727272727,0.7272727272727273,6.386363636363637,7.636363636363636,4,256,0.006815000000000001,1.25,5.0,0,C,Z,11,70.25,0.5248919311825473
2100121732,1,20,0,21,0.0,0.047619047619047616,0.9523809523809523,9.453373015873016,6.285714285714285,48,1872,0.0009056250000000001,0.125,6.0,0,C,Z,21,198.52083333333334,0.06975132137596396
2100121736,1,4,0,5,0.0,0.2,0.8,1.7,7.200000000000001,6,,0.001014,0.1666666666666667,1.0,0,C,Z,5,8.5,0.07809837391329462
2100121737,0,8,0,8,0.0,0.0,1.0,0.6458333333333334,6.0,36,900,0.001435,0.3055555555555556,11.0,0,C,Z,8,5.166666666666667,0.11052383290490907
2100121738,0,2,0,2,0.0,0.0,1.0,0.6354166666666666,6.0,48,,0.001096875,0.1625,7.8,0,C,Z,2,1.2708333333333333,0.08448141408890043
2100121739,0,2,0,2,0.0,0.0,1.0,0.5208333333333333,6.0,48,,0.00121975,0.1979166666666667,9.5,0,C,Z,2,1.0416666666666665,0.0939452579691727
2100121741,0,3,0,3,0.0,0.0,1.0,0.3796296296296296,6.0,36,756,0.001466888888888889,0.2444444444444445,8.8,0,C,Z,3,1.1388888888888888,0.11297991808057373
2100121759,0,1,0,1,0.0,0.0,1.0,2.0,6.0,24,720,0.002026375,0.375,9.0,0,C,Z,1,2.0,0.15607159017608718
2100122009,0,1,0,1,0.0,0.0,1.0,5.0,6.0,6,,0.0006251666666666668,0.1666666666666667,1.0,0,C,Z,1,5.0,0.048150394567516144
2100122010,0,4,0,4,0.0,0.0,1.0,0.7083333333333333,6.0,6,,0.0010985,0.1666666666666667,1.0,0,C,Z,4,2.833333333333333,0.08460657173940252
2100122011,1,4,0,5,0.0,0.2,0.8,2.1333333333333333,7.200000000000001,6,,0.0009100000000000001,0.1333333333333333,0.8,0,C,Z,5,10.666666666666666,0.07008828428116186
2100122015,0,1,0,1,0.0,0.0,1.0,1.0,6.0,6,,0.001122333333333333,0.1666666666666667,1.0,0,C,Z,1,1.0,0.08644221728009958
2100122706,3,42,0,45,0.0,0.06666666666666667,0.9333333333333333,2.0814814814814815,6.3999999999999995,6,168,0.008448666666666667,1.0,6.0,0,C,Y,45,93.66666666666667,0.6507170891539664
2100122707,193,294,0,487,0.0,0.39630390143737165,0.6036960985626283,3.106776180698152,8.377823408624229,4,168,0.009075000000000001,1.1,4.4,0,B,X,487,1513.0,0.2133687576413054
2100122708,58,379,0,437,0.0,0.13272311212814644,0.8672768878718535,3.2494279176201375,6.7963386727688775,6,336,0.00528125,1.0,6.0,0,B,X,437,1420.0,0.12417121226370734
2100122709,4,26,0,30,0.0,0.13333333333333333,0.8666666666666667,2.972222222222222,6.800000000000001,6,240,0.006888000000000001,1.083333333333333,6.5,0,C,Y,30,89.16666666666666,0.5305143979435636
2100122710,43,311,0,354,0.0,0.12146892655367232,0.8785310734463276,3.7038606403013183,6.728813559322033,6,210,0.0092565,1.1,6.600000000000001,0,B,X,354,1311.1666666666667,0.2176361327941315
2100123087,2,0,0,2,0.0,1.0,0.0,52.5,12.0,6,210,0.008225000000000001,1.0,6.0,0,C,Z,2,105.0,0.6334902617720398
2100124408,0,2,0,2,0.0,0.0,1.0,0.55,6.0,10,,0.000792,0.2,2.0,0,C,Z,2,1.1,0.0609999133523958
2100124433,2,0,0,2,0.0,1.0,0.0,24.5,12.0,1,54,0.030618,4.0,4.0,1,C,Z,2,49.0,2.3582011957369375
2100124435,5,2,0,7,0.0,0.7142857142857143,0.2857142857142857,13.107142857142858,10.285714285714285,4,168,0.010716,1.2,4.8,0,C,Z,7,91.75,0.8253473124801433
2100124470,2,4,0,6,0.0,0.3333333333333333,0.6666666666666666,2.9583333333333335,8.0,4,168,0.011375,1.0,4.0,0,C,Z,6,17.75,0.8761035535145231
2100124946,0,1,0,1,0.0,0.0,1.0,1.0,6.0,6,270,0.006200000000000001,0.8,4.800000000000001,0,C,Z,1,1.0,0.4775245742233005
2100124952,1,5,0,6,0.0,0.16666666666666666,0.8333333333333334,1.5,7.0,4,100,0.015147,2.25,9.0,0,C,Z,6,9.0,1.1666233428645698
2100124953,2,2,0,4,0.0,0.5,0.5,14.25,9.0,2,80,0.02192475,3.0,6.0,0,C,Z,4,57.0,1.6886462755971463
